Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
SRPXQLE8,"Laura Johnson Home, Townview",QLD,4825,0.2265,Solar,2024-10-15,2025-01-13,-20.7342326,139.5034862,Townview,Mount Isa City,Queensland,4825.0,Australia,"41 Clarke St, Townview QLD 4825, Australia","Laura Johnson Home, Townview, Queensland, Australia"
SRPYNS39,Leppington,NSW,2179,0.732,Solar,2024-11-22,2025-01-13,-33.9773022,150.7834354,Leppington,,New South Wales,2179.0,Australia,"Leppington NSW 2179, Australia","Leppington, New South Wales, Australia"
SRPYNS58,Quakers Hillside Care Community,NSW,2763,0.1996,Solar,2024-12-19,2025-01-13,-33.719511,150.891607,Quakers Hill,City of Blacktown,New South Wales,2763.0,Australia,"35 Hambledon Rd, Quakers Hill NSW 2763, Australia","Quakers Hillside Care Community, New South Wales, Australia"
SRPXVCN4,Rest Nominees,VIC,3008,0.1188,Solar,2024-09-20,2025-01-13,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","Rest Nominees, Victoria, Australia"
SRPXQLF9,Retail First Mt Ommaney,QLD,4074,1.0004,Solar,2024-10-29,2025-01-13,-27.4852123,152.9924062,Toowong,Brisbane City,Queensland,4066.0,Australia,"Toowong QLD 4066, Australia","Retail First Mt Ommaney, Queensland, Australia"
SRPXQLG3,Woolworths HCFDC Heathwood,QLD,4110,1.6721,Solar,2024-12-12,2025-01-13,-27.6348312,152.9917087,Heathwood,Brisbane City,Queensland,,Australia,"Heathwood QLD, Australia","Woolworths HCFDC Heathwood, Queensland, Australia"
SRPVTA25,Woolworths Kings Meadow 7210,TAS,7249,0.2926,Solar,2024-11-18,2025-01-13,-41.4690796,147.1611718,Kings Meadows,Launceston City Council,Tasmania,7249.0,Australia,"Kings Meadows TAS 7249, Australia","Woolworths Kings Meadow 7210, Tasmania, Australia"
SRPVSAY5,CLAYTON CHURCH HOMES INC,SA,5113,0.1965,Solar,2024-12-11,2025-01-17,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","CLAYTON CHURCH HOMES INC, South Australia, Australia"
SRPYNS57,Dalwood Children's Home,NSW,2092,0.2465,Solar,2024-12-19,2025-01-17,-32.6274801,151.4200826,Dalwood,Singleton Council,New South Wales,2335.0,Australia,"Dalwood NSW 2335, Australia","Dalwood Children's Home, New South Wales, Australia"
SRPVSAY1,Haighs Proprietary Limited,SA,5106,0.6265,Solar,2024-12-27,2025-01-17,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","Haighs Proprietary Limited, South Australia, Australia"
SRPYNS56,Lindt & Sprungli (Australia) Pty Ltd,NSW,2765,1.0179,Solar,2024-12-17,2025-01-17,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","Lindt & Sprungli (Australia) Pty Ltd, New South Wales, Australia"
SRPVSAX9,Midfield Trading Solar W SGU,SA,5010,0.6443,Solar,2024-11-25,2025-01-17,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","Midfield Trading Solar W SGU, South Australia, Australia"
SRPXVCG8,Wilandra Farms Clydebank,VIC,3851,0.155,Solar,2024-12-20,2025-01-17,-38.0413887,147.1644309,Clydebank,Wellington Shire,Victoria,3851.0,Australia,"83 Punt Ln, Clydebank VIC 3851, Australia","Wilandra Farms Clydebank, Victoria, Australia"
SRPYNS13,Balickera WPS,NSW,2324,3.1158,Solar,2024-11-05,2025-01-20,-32.660033,151.7971305,Balickera,Port Stephens Council,New South Wales,2324.0,Australia,"Balickera NSW 2324, Australia","Balickera WPS, New South Wales, Australia"
SRPVSAX0,The Creeks Pipeline Company Ltd,SA,5259,2.808,Solar,2024-12-01,2025-01-20,-35.2964192,139.0414808,Langhorne Creek,Alexandrina Council,South Australia,5255.0,Australia,"1507 Langhorne Creek Rd, Langhorne Creek SA 5255, Australia","The Creeks Pipeline Company Ltd, South Australia, Australia"
SRPVSAX2,Lai Industries,SA,5010,0.5445,Solar,2024-10-16,2025-01-23,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","Lai Industries, South Australia, Australia"
SRPVSAY6,CLAYTON CHURCH HOMES INC,SA,5082,0.198,Solar,2024-12-11,2025-01-28,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","CLAYTON CHURCH HOMES INC, South Australia, Australia"
SRPXVCP2,Kerang Solar Plant,VIC,3579,37.2874,Solar,2025-01-21,2025-01-28,-35.7350156,143.9202005,Kerang,Gannawarra Shire,Victoria,3579.0,Australia,"Kerang VIC 3579, Australia","Kerang Solar Plant, Victoria, Australia"
SRPVQLO6,Red Valley Farms,QLD,4871,0.3801,Solar,2024-11-11,2025-01-28,-15.8501908,144.8558809,Lakeland,Cook Shire,Queensland,4871.0,Australia,"Mulligan Hwy, Lakeland QLD 4871, Australia","Red Valley Farms, Queensland, Australia"
SRPVWAH2,Region Group Warnbro Central,WA,6169,0.5736,Solar,2024-11-21,2025-01-28,-32.3352786,115.759399,Warnbro,City of Rockingham,Western Australia,6169.0,Australia,"Warnbro WA 6169, Australia","Region Group Warnbro Central, Western Australia, Australia"
SRPXVCP4,Southern Steel,VIC,3175,0.2,Solar,2024-12-19,2025-01-28,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","Southern Steel, Victoria, Australia"
SRPVSAY9,Southern Steel,SA,5095,0.2498,Solar,2024-12-19,2025-01-28,-35.1167257,138.4985418,Lonsdale,City of Onkaparinga,South Australia,5160.0,Australia,"69/71 O'Sullivan Beach Rd, Lonsdale SA 5160, Australia","Southern Steel, South Australia, Australia"
SRPVSAY7,CLAYTON CHURCH HOMES INC,SA,5072,0.2001,Solar,2024-12-11,2025-01-31,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","CLAYTON CHURCH HOMES INC, South Australia, Australia"
SRPYNS53,AU186 Oakdale West 5B,NSW,2178,0.15,Solar,2024-12-16,2025-02-04,-34.0799357,150.5085739,Oakdale,Wollondilly Shire Council,New South Wales,2570.0,Australia,"Oakdale NSW 2570, Australia","AU186 Oakdale West 5B, New South Wales, Australia"
SRPVWAN2,Carosue,WA,6440,8.464,Solar,2024-12-24,2025-02-10,-30.1535719,122.3509579,Cundeelee,City of Kalgoorlie-Boulder,Western Australia,6434.0,Australia,"Kararri open cut Gold Mine WA, Cundeelee WA 6434, Australia","Carosue, Western Australia, Australia"
SRPVSAY8,Linfox Regency Park,SA,5010,0.7,Solar,2024-12-17,2025-02-10,-34.8556017,138.574467,Regency Park,City of Port Adelaide Enfield,South Australia,5010.0,Australia,"74 Gallipoli Dr, Regency Park SA 5010, Australia","Linfox Regency Park, South Australia, Australia"
SRPVWAN1,PWR Hybrid Cataby,WA,6507,9.558,Solar,2025-01-08,2025-02-10,-30.7358429,115.5402388,Cataby,Shire of Dandaragan,Western Australia,6507.0,Australia,"Cataby WA 6507, Australia","PWR Hybrid Cataby, Western Australia, Australia"
SRPYNS54,Blacktown Warehouse 1,NSW,2148,0.2,Solar,2024-12-17,2025-02-11,-33.7660982,150.9126927,Blacktown,City of Blacktown,New South Wales,2148.0,Australia,"Blacktown NSW 2148, Australia","Blacktown Warehouse 1, New South Wales, Australia"
SRPYNS55,Blacktown Warehouse 2,NSW,2148,0.2,Solar,2024-12-17,2025-02-11,-33.7660982,150.9126927,Blacktown,City of Blacktown,New South Wales,2148.0,Australia,"Blacktown NSW 2148, Australia","Blacktown Warehouse 2, New South Wales, Australia"
SRPVQLQ4,HCS,QLD,4014,0.438,Solar,2024-11-14,2025-02-11,-22.575197,144.0847926,,,Queensland,,Australia,"Queensland, Australia","HCS, Queensland, Australia"
SRPXQLF1,Intertek Townsville,QLD,4818,0.182,Solar,2024-10-18,2025-02-11,-19.2508005,146.7366226,Bohle,Townsville City,Queensland,4818.0,Australia,"9/23 Kelli St, Bohle QLD 4818, Australia","Intertek Townsville, Queensland, Australia"
SRPYNS65,ISLHD,NSW,2516,0.281,Solar,2025-01-13,2025-02-11,-34.4897544,150.8891201,Warrawong,Wollongong City Council,New South Wales,2505.0,Australia,"67-71 King Street District Executive Office Suite 2, Level 2, Warrawong NSW 2505, Australia","ISLHD, New South Wales, Australia"
SRPVWAN3,Region Group Treendale,WA,6233,0.34,Solar,2025-01-28,2025-02-11,-33.2767614,115.7249058,Australind,Shire of Harvey,Western Australia,6233.0,Australia,"Australind WA 6233, Australia","Region Group Treendale, Western Australia, Australia"
SRPYNS52,Woolworths DC Moorebank RDC 7950,NSW,2170,2.02,Solar,2024-12-12,2025-02-11,-33.9343989,150.9347027,Moorebank,Liverpool City Council,New South Wales,2170.0,Australia,"Moorebank NSW 2170, Australia","Woolworths DC Moorebank RDC 7950, New South Wales, Australia"
