Project Name,State,MW Capacity,Fuel Source,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
Barnawartha Solar Farm,VIC,64.0,Solar,-36.0959962,146.6965122,Barnawartha,Indigo Shire,Victoria,3688.0,Australia,"1377 Plunketts Rd, Barnawartha VIC 3688, Australia","Barnawartha Solar Farm, Victoria, Australia"
Barwon solar farm,VIC,250.0,Solar,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","Barwon solar farm, Victoria, Australia"
Boddington Giga Energy,WA,400.0,Solar,-32.8055466,116.4724334,Boddington,Shire of Boddington,Western Australia,6390.0,Australia,"Boddington WA 6390, Australia","Boddington Giga Energy, Western Australia, Australia"
Bulli Creek Solar project Stage 1,QLD,775.0,Solar,-28.0220901,150.8962921,Bulli Creek,Toowoomba Regional,Queensland,4357.0,Australia,"Bulli Creek QLD 4357, Australia","Bulli Creek Solar project Stage 1, Queensland, Australia"
Bullyard Solar Farm,QLD,100.0,Solar,-24.9509441,152.0610284,Bullyard,Bundaberg Regional,Queensland,4671.0,Australia,"Bullyard QLD 4671, Australia","Bullyard Solar Farm, Queensland, Australia"
Bungaban Wind Farm,QLD,1400.0,Wind,-25.8843272,150.1855352,Bungaban,Western Downs Regional,Queensland,4419.0,Australia,"Bungaban QLD 4419, Australia","Bungaban Wind Farm, Queensland, Australia"
Byford Solar Project,WA,30.0,Solar,-32.221722,116.0073374,Byford,Shire of Serpentine-Jarrahdale,Western Australia,6122.0,Australia,"Byford WA 6122, Australia","Byford Solar Project, Western Australia, Australia"
Campbells Forest Solar Farm,VIC,205.0,Solar,-36.6129509,144.1404184,Campbells Forest,Loddon Shire,Victoria,3556.0,Australia,"Campbells Forest VIC 3556, Australia","Campbells Forest Solar Farm, Victoria, Australia"
Coppabella Wind Farm,NSW,284.0,Wind,-34.7397648,148.5073926,Berremangra,Hilltops Council,New South Wales,2582.0,Australia,"Berremangra NSW 2582, Australia","Coppabella Wind Farm, New South Wales, Australia"
Derby Solar Farm & Battery,VIC,95.0,Solar,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","Derby Solar Farm & Battery, Victoria, Australia"
Elaine Solar Farm,VIC,125.0,Solar,-37.7776253,144.0284933,Elaine,Moorabool Shire,Victoria,3334.0,Australia,"Elaine VIC 3334, Australia","Elaine Solar Farm, Victoria, Australia"
