英文	中文
Code	区域代码
Label	区域名称
Year	年份
Number of non-employing businesses	无雇员企业数量
Number of employing businesses: 1-4 employees	有雇员企业（1–4人）数量
Number of employing businesses: 5-19 employees	有雇员企业（5–19人）数量
Number of employing businesses: 20 or more employees	有雇员企业（20人以上）数量
Total number of businesses	企业总数
Number of non-employing business entries	新增无雇员企业数
Number of employing business entries: 1-4 employees	新增1–4人企业数
Number of employing business entries: 5-19 employees	新增5–19人企业数
Number of employing business entries: 20 or more employees	新增20+人企业数
Total number of business entries	新增企业总数
Number of non-employing business exits	退出无雇员企业数
Number of employing business exits: 1-4 employees	退出1–4人企业数
Number of employing business exits: 5-19 employees	退出5–19人企业数
Number of employing business exits: 20 or more employees	退出20+人企业数
Total number of business exits	退出企业总数
Agriculture, forestry and fishing (no.)	农林渔业企业数
Mining (no.)	采矿业企业数
Manufacturing (no.)	制造业企业数
Electricity, gas, water and waste services (no.)	电力、燃气、水和废物处理业企业数
Construction (no.)	建筑业企业数
Wholesale trade (no.)	批发业企业数
Retail trade (no.)	零售业企业数
Accommodation and food services (no.)	住宿与餐饮业企业数
Transport, postal and warehousing (no.)	交通、邮政和仓储业企业数
Information media and telecommunications (no.)	信息传媒与电信业企业数
Financial and insurance services (no.)	金融与保险业企业数
Rental, hiring and real estate services (no.)	租赁、雇用与房地产企业数
Professional, scientific and technical services (no.)	专业、科学与技术服务企业数
Administrative and support services (no.)	行政与支持服务企业数
Public administration and safety (no.)	公共管理与安全企业数
Education and training (no.)	教育与培训企业数
Health care and social assistance (no.)	卫生保健与社会援助企业数
Arts and recreation services (no.)	艺术与娱乐服务企业数
Other services (no.)	其他服务企业数
Currently unknown (no.)	当前未知行业企业数
Number of businesses with turnover of zero to less than $50k	营业额 0–5万 澳元 企业数
Number of businesses with turnover of $50k to less than $200k	营业额 5万–20万 企业数
Number of businesses with turnover of $200k to less than $2m	营业额 20万–200万 企业数
Number of businesses with turnover of $2m to less than $5m	营业额 200万–500万 企业数
Number of businesses with turnover of $5m to less than $10m	营业额 500万–1000万 企业数
Number of businesses with turnover of $10m or more	营业额 1000万以上 企业数
Number of business entries/exits ...	同上（entries 是新增，exits 是退出）
Private sector houses (no.)	私营部门独立屋数量
Private sector dwellings excluding houses (no.)	私营部门非独立屋住宅数量
Total private sector dwelling units (no.)	私营部门住宅总数
Total dwelling units (no.)	住宅总数
Value of private sector houses ($m)	私营独立屋建筑价值（百万澳元）
Value of private sector dwellings excluding houses ($m)	私营非独立屋建筑价值（百万澳元）
Total value of private sector dwelling units ($m)	私营住宅总价值（百万澳元）
Value of residential building ($m)	住宅建筑总价值（百万澳元）
Value of non-residential building ($m)	非住宅建筑价值（百万澳元）
Value of total building ($m)	总建筑价值（百万澳元）
Number of established house transfers (no.)	成交独立屋数量
Median price of established house transfers ($)	成交独立屋中位价（澳元）
Number of attached dwelling transfers (no.)	成交连体住宅数量
Median price of attached dwelling transfers ($)	成交连体住宅中位价（澳元）
Debtors entering business related personal insolvencies (no.)	进入商业相关个人破产的债务人数
Debtors entering non-business related personal insolvencies (no.)	进入非商业个人破产的债务人数
Total debtors entering personal insolvencies (no.)	进入个人破产的债务人总数
Managers / Professionals / ...	各类职业人数（管理者、专业人员、技工、文职、销售等）
Debtors with other or unknown occupations (no.)	职业未知的破产债务人数
Area of holding - total area (ha)	农场总面积（公顷）
Dairy cattle / Meat cattle / Sheep and lambs ...	各类牲畜数量
Broadacre crops / Vegetables / Orchard fruit trees ... (ha)	各类农作物/果树面积（公顷）
Agricultural production - total gross value ($m)	农业生产总产值（百万澳元）
Crops - total gross value ($m)	作物产值（百万澳元）
Livestock slaughtered and other disposals - total gross value ($m)	畜牧产值（百万澳元）
Agriculture, forestry and fishing (%) ...	各行业就业人数占比（%）
Industry of employment inadequately described or not stated (%)	未说明行业的就业人数占比
Total persons employed aged 15 years and over (no.)	15岁及以上就业总人数
Houses / Townhouses / Apartments - additions/removals/total (no.)	独立屋 / 联排别墅 / 公寓 新增/拆除/总数
Total dwelling additions/removals (no.)	总住宅新增/拆除数量
Total dwellings (no.)	总住宅数量
